2026年闵行区公办小学招生划片范围
序号	学校名称	学校地址	招生划片范围
1	上海市闵行区华漕学校	申长路2051弄32号	华漕村、许浦村、王泥浜村、陶家角村、杨家巷村、新家弄村、光华村、爱博四村(天山西路4358弄）、爱博五村（天山西路4178弄）、爱博六村（申长北路185弄）、爱博七村（博恒路289弄）、金色西郊城（北翟路2000弄）、农科院居委（北翟路2900弄华苑小区）、华漕二居委（北华路168弄万博家园、北沈路288弄万博欣园、华江路1415弄华漕新村、北沈路260弄西郊东苑）、华美路居委（华美东路151弄、220弄、中华美路5弄、60弄、华美中路1—7弄、华美西路10—18号、西华美路1—9号、吴漕路1001号、1003号、1005号、1007号、华美中路18号、华美南路65—67号）、华美路二居委（华美路100弄、108弄、东华美路10弄、华美路151弄、中华美路60弄6—13号、中华美路156弄8—22号、吴漕路1018弄）
2	上海市闵行区文来实验学校	申滨路615号	爱博一村（宁虹路1101弄）、爱博二村（申滨路1051弄）、爱博三村（申滨路1058弄）（含原华漕镇各村动迁安置）、涞港星苑（华涞路255弄）；【以下小区为暂时安置】万科时一区（申郑路18弄、兴虹路299弄、兴虹路399弄、兴虹路368弄）、虹桥富力悦都/富力十号（申贵路1599号）、恒基旭辉中心（申贵路1799弄）、尚品华庭(申贵路1557弄)
3	闵行区虹桥中心小学	万源路2323号	海申花园(张虹路125弄)、海叶公寓(张虹路133弄)、海联花苑(吴中路380弄、张虹路135弄)、伊犁苑(伊犁南路23弄)、振宏公寓(伊犁南路24弄)、东方明珠小区(伊犁南路32弄)、虹桥明珠公寓(伊犁南路34弄)、浩润苑(伊犁南路65弄)、振宏苑(姚虹路108弄)、古北虹苑(姚虹路259弄、姚虹路298弄、红松东路251弄)、恒盛苑(姚虹路299弄)、臻园小区(古羊路789号)、古北大成公馆(红松东路319号)、张家宅小区(吴中路388弄)、锦华公寓(吴中路397弄)、怡德苑(吴中路405弄75支弄)、古北首席(吴中路405弄100支弄)、湘府花园(吴中路429弄)、吴中路405弄、古北新城(吴中路511弄、吴中路585弄)、金虹大厦(吴中路598弄)、明申花园(吴中路633弄)、天鸿公寓(吴中路677弄99支弄)、旅专小区(吴中路689弄)、古北一号（红松东路1099弄）、名都城(虹许路788弄、翠钰南路18号、红松东路699号)、名都古北花园(古北路1700弄)、君怡公寓(吴中路889弄)、吴中路（730弄、830弄、870弄、907号、909号、918号、920号、940弄、970弄、1001弄）、环镇西路（6弄、39弄、41弄）、环镇南路87-93号、苹果园(环镇南路88弄)、红春一公寓(虹梅路3330弄)、红春二公寓(虹梅路3321弄)、汇秀苑(虹梅路3215弄99支弄）、金泉苑(虹梅路3329弄)、华光公寓(华光路300弄)、虹田苑(虹梅路3318弄)、华光花园(虹梅路3297弄)、虹桥花苑(虹梅路3200弄)、虹梅别墅(虹梅路2989号)、高尔夫小区(虹许路555号)、虹中别墅(虹中路385号)、嘉年别墅(虹梅路3333号)、富宏花园(虹梅路3131号)、豪嘉府邸(虹梅路2999号)、奥玎宫廷别墅(虹梅路3001弄88支弄)、东苑怡和园(虹梅路2899弄)、晶典苑(虹梅路2838弄)、紫京苑(虹梅路3201弄)、虹梅路（3081弄、2998弄、2986弄、2981弄、2964弄、2806弄、2759弄、2669弄、2309弄）、虹中路2弄、虹兴苑(虹梅路2555弄)、上虹新村(莲花路2150弄、莲花路2151弄)、万源新城(万源路2289弄、环镇南路200弄)、锦绣江南(金汇南路60弄、金汇南路91弄、金汇南路258弄、金汇南路301弄)、流晶逸彩虹华苑(虹中路460弄)、华虹一公寓(虹中路480弄)、奥森花苑(虹中路758弄)、虹鹿花苑(虹中路780弄)、奥森公寓(虹中路786弄)、延虹公寓(虹中路796弄)、风度国际(虹莘路3800弄)、井亭苑(虹莘路3799弄)、明泉璞院(虹秀路78弄)、虹二村、虹四村、虹桥村、虹六村、新桥村、井亭村、荣信虹桥世嘉(虹梅路2159弄)、古北尚郡(红松东路2899弄)、古北尚公馆(虹中路158弄)、金科新弘古北天御(吴中路389弄)、金鹰华庭(虹中路399弄、程家桥路388弄、程家桥路399号、合川路3488弄)、古北中央公园(古北路1999弄)、古北悦公馆（莲花路2499弄）、古北名庭一期（姚虹路99弄）
4	闵行区龙柏第一小学	黄桦路110号	龙柏一村：西郊公寓（虹井路629弄）、西郊公寓北片（黄桦路568弄）、龙柏公寓（绿苑路21弄）、佳信花苑（黄桦路292弄）、城市花园（黄桦路85弄）、华都公寓（黄桦路422弄）、永怡公寓（黄桦路577弄）、嘉富丽苑（黄桦路369弄）、汇金公寓（红松路333弄）；龙柏二村：龙柏西郊公寓（红松路700弄）；龙柏三村：先锋公寓（红松路417弄）、中康公寓（青杉路26弄）、和兴公寓（青杉路244号）、新悦公寓（红松路319弄）、金铃公寓（黄桦路158弄）、龙兴苑（白樟路350弄）、四季花园（青杉路150弄）；龙柏四村（红松路521弄、兰竹路17弄、青杉路318弄）、龙柏五村（青杉路5弄）、龙柏六村：易居公寓（紫藤路266弄）、中祥龙柏苑（白樟路99弄）、金悦公寓（青杉路115弄）、香榭苑（青杉路169弄）；龙柏七村：七村公寓（青杉路455弄）、紫藤居（紫藤路99弄）、紫藤里（紫藤路128弄）；虹井小区（虹井路788弄）、井亭头：龙柏井亭公寓（老虹井路39弄）、紫藤华庭（吴中路1898弄）
5	闵行区航华第一小学	航东路775弄38号	沪青平公路（180弄、251弄120支弄、249弄、391弄、101弄、158弄、346弄、338弄）、航东路（750弄、775弄、528弄）、嘉丰花苑（航东路204弄）、嘉丰新苑（航东路255弄）、永兴小区（航东路685弄76支弄）、航东路606弄1-4号、航华新苑（航中路635弄）、航中路288弄1-3号、航华一村一街坊1号—220号、航华一村二街坊270号—368号、航华四村、鸿禧花园（航北路38弄）、华景小区（航北路35弄）、新明星花园（航北路123弄、航北路180弄）、丹桂北苑（航北路228弄）、丹桂南苑（航北路229弄）、茂盛花苑（七莘路3885弄）、虹光村
6	闵行区航华第二小学	航中路355号	宝丽花苑（航北路389弄）、京润花园（航新路288号）、驰骋小区（航新路115号-178号）、景丽苑（航新路201号）、信利苑（航新路256号-295号）、嘉丰公寓（航北路391号-463号）、梧柏小区（航北路464号-481号）、中国东方航空住宅区（航华三村一街坊1-39号）、丰利达（航新路161号-174号）、嘉丰小区（航新路176号-192号）、春晖小区（航南路200号）、春晖小区（航新路49弄）、三佳苑（航新路88弄）、馥华苑（航西路350弄）、復泰华庭（航新路408弄）、小桥里（航北路669弄）、虹光花苑（航新路589弄）、沙申新村（沪青平公路635弄）、横泾苑（航新路260弄）
7	闵行区七宝镇明强小学	宝南路288号	七宝村（除陈家塘3队）、友谊村、三佳花苑（新镇路1060弄）、东风小区（富强街3弄、富强街3弄59支弄）、茂盛花园（新镇路1036弄）、水景书香园（新镇路888弄）、宝仪花苑（新镇路876弄）、学院新村（新镇路701弄）、东方花园二期（新镇路603弄）、东方花园三期（荣谊路108弄）、莲浦府邸二期（宝铭路88弄）、皇都花园（顾戴路2000弄）、明泉公寓（漕宝路3158弄）、蒲汇别墅（新镇路1258弄）、蒲汇新村（青年路88弄）、蒲汇公寓（青年路25弄、77弄）、京都苑（青年路369弄、七莘路2950弄50支弄），白浪新村（青年路267弄）、塘北居委所属小区（北大街、北东街、北西街、青年路、青南小区、民主路、民主新村、横沥新村、北横沥、北东塘滩、沟水弄等）、塘南居委所属小区（王家场、南大街、南街、南街支弄、南西街、南东街、南东塘滩、南西塘滩、竹行弄、浴堂街、富强街、镇企路、南横沥等）、华夏名苑（宝南路508弄）、宝隆新村（七莘路2938弄、富强街78号乙）、农学院家属小区（宝南路531弄）、秀枫翠谷（漕宝路1911弄）、金泰公寓（漕宝路2999弄）、红明村（1、2、3、4队）、九星村（原东风村：范家塘、大小赵家巷、沈长浜、胡家塘、葫芦湾、程家塘、南李、北李）、江南御府（宝南路536弄）、九星家园（宝南路55弄）、鑫悦珑庭（富强街8弄）
8	闵行区七宝镇明强小学西校区	华茂路108号	联明村（1、3、9、10、11队）、联盛花苑196-320号、碧林湾（中谊路888弄）、万泰花园（七莘路2299弄）、绿野香舟（中谊路666弄）、水榭花堤（七莘路2299弄26支弄）、广海花园（七莘路2315弄）、华宝花园（华茂路32弄、18弄、42弄）、保利名苑（华茂路100弄）、东方花园一期（七莘路2288弄）、亿豪名邸（七莘路2358弄）、园艺新村（七莘路2628弄）
9	上海市闵行区七宝明强第二小学	航南路350号	沪星村、大都会和风社区（中春路9966弄）、大千美苑（中春路8988弄）、欧香名邸（沪星路299弄）、优诗美地/魅力之城（中春路8888弄）、郎润园（新龙路1111弄）、佳宝新村（沪松公路62弄）、佳宝四联（沪松公路62弄）、华莘花园（新龙路1058弄）、泰景苑/万泰公寓（七莘路3128弄）、明泉花园（漕宝路3369弄）、汇宝公寓（吴宝路139弄）、海星公寓（吴宝路160弄）、欣源公寓（吴宝路228弄）、嘉景苑（吴宝路169弄1号-21号）、南国花园（七莘路3198弄）、金球花园（吴中路2727弄）、万科城市花园（七莘路3333弄）、广达新苑（吴宝路580弄）、新龙村、号上村、七韵美地苑（航中路99弄）、万科城花新园（中春路8889弄55支弄、56支弄、120支弄)、吴宝新村（吴宝路27弄）、西郊英园（新龙路558弄）、尚城河滨（吴中路2569弄）、兴隆别墅（吴中路2768弄）
10	闵行区黎明小学	联明路180号	黎明花园（七莘路2465弄30支弄）、万兆家园（七莘路2855弄）、牡丹新村（七莘路2999弄）、牡丹公寓（七莘路2899弄）、豪世盛地（沪松公路195弄18支弄）、水清年华（沪松公路565弄）、金美苑（沪松公路481弄）、华星别墅（联明路125弄）、奔驰别墅（联明路255弄）、宝南新村（七莘路2455弄）、联明村（2、4、5、6、7、8、12生产队）、莱茵风尚(七莘路2929弄)、莱茵清境（七莘路2885弄）、惠明苑（联明路338弄）、联盛花苑（1-195号）、陈家塘别墅（七宝村3队）、枫荷兰庭(宝联路88弄)
